Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
7609,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
7610,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
7611,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
7612,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,5
7613,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,2
7614,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
7615,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
7616,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
7617,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
7618,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
7619,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
7620,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,7
7621,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,7
7622,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
7623,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
7624,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
7625,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,30,Municipality as Employer,Inclusive Workplace,City,NA,0
7626,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
7627,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,32,Municipal Services,Human Rights Commission,County,NA,0
7628,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,33,Municipal Services,Human Rights Commission,City,NA,5
7629,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
7630,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
7631,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
7632,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
7633,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
7634,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
7635,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
7636,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
7637,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
7638,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
7639,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
7640,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
7641,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,0
7642,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
7643,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
7644,156,Pocatello,ID,https://www.hrc.org/resources/municipalities/pocatello-id,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
7645,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,5
7646,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,2,Non-Discrimination Laws,Employment,State,Gender Identity,5
7647,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
7648,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
7649,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,5
7650,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,6,Non-Discrimination Laws,Employment,City,Gender Identity,5
7651,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,5
7652,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,8,Non-Discrimination Laws,Housing,State,Gender Identity,5
7653,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
7654,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
7655,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,5
7656,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,12,Non-Discrimination Laws,Housing,City,Gender Identity,5
7657,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,5
7658,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,5
7659,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
7660,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
7661,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,5
7662,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,5
7663,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,2
7664,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
7665,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
7666,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,2
7667,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
7668,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
7669,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,7
7670,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,7
7671,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
7672,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,3
7673,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,3
7674,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,30,Municipality as Employer,Inclusive Workplace,City,NA,0
7675,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
7676,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,32,Municipal Services,Human Rights Commission,County,NA,0
7677,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,33,Municipal Services,Human Rights Commission,City,NA,5
7678,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
7679,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,2
7680,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,5
7681,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
7682,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
7683,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
7684,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
7685,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
7686,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
7687,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
7688,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,10
7689,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
7690,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,3
7691,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,3
7692,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
7693,157,Aurora,IL,https://www.hrc.org/resources/municipalities/aurora-il,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
7694,158,Carbondale,IL,https://www.hrc.org/resources/municipalities/carbondale-il,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,5
7695,158,Carbondale,IL,https://www.hrc.org/resources/municipalities/carbondale-il,2,Non-Discrimination Laws,Employment,State,Gender Identity,5
7696,158,Carbondale,IL,https://www.hrc.org/resources/municipalities/carbondale-il,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
7697,158,Carbondale,IL,https://www.hrc.org/resources/municipalities/carbondale-il,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
7698,158,Carbondale,IL,https://www.hrc.org/resources/municipalities/carbondale-il,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,0
